title,authors,subject
Learning Dynamic Belief Graphs for Theory-of-mind Reasoning,"['Ruxiao Chen', 'Xilei Zhao', 'Thomas J. Cova', 'Frank A. Drews', 'Susu Xu']",Artificial Intelligence (cs.AI)
Pitfalls in Evaluating Interpretability Agents,"['Tal Haklay', 'Nikhil Prakash', 'Sana Pandey', 'Antonio Torralba', 'Aaron Mueller', 'Jacob Andreas', 'Tamar Rott Shaham', 'Yonatan Belinkov']",Artificial Intelligence (cs.AI)
DIAL-KG: Schema-Free Incremental Knowledge Graph Construction via Dynamic Schema Induction and Evolution-Intent Assessment,"['Weidong Bao', 'Yilin Wang', 'Ruyu Gao', 'Fangling Leng', 'Yubin Bao', 'Ge Yu']",Artificial Intelligence (cs.AI)
Experience is the Best Teacher: Motivating Effective Exploration in Reinforcement Learning for LLMs,"['Wenjian Zhang', 'Kongcheng Zhang', 'Jiaxin Qi', 'Baisheng Lai', 'Jianqiang Huang']",Artificial Intelligence (cs.AI)
On the Ability of Transformers to Verify Plans,"['Yash Sarrof', 'Yupei Du', 'Katharina Stein', 'Alexander Koller', 'Sylvie Thiébaux', 'Michael Hahn']",Artificial Intelligence (cs.AI)
Utility-Guided Agent Orchestration for Efficient LLM Tool Use,"['Boyan Liu', 'Gongming Zhao', 'Hongli Xu']",Artificial Intelligence (cs.AI)
FormalEvolve: Neuro-Symbolic Evolutionary Search for Diverse and Prover-Effective Autoformalization,"['Haijian Lu', 'Wei Wang', 'Jing Liu']",Artificial Intelligence (cs.AI)
Embodied Science: Closing the Discovery Loop with Agentic Embodied AI,"['Xiang Zhuang', 'Chenyi Zhou', 'Kehua Feng', 'Zhihui Zhu', 'Yunfan Gao', 'Yijie Zhong', 'Yichi Zhang', 'Junjie Huang', 'Keyan Ding', 'Lei Bai', 'Haofen Wang', 'Qiang Zhang', 'Huajun Chen']",Artificial Intelligence (cs.AI)
Stepwise: Neuro-Symbolic Proof Search for Automated Systems Verification,"['Baoding He', 'Zenan Li', 'Wei Sun', 'Yuan Yao', 'Taolue Chen', 'Xiaoxing Ma', 'Zhendong Su']",Artificial Intelligence (cs.AI)
A Subgoal-driven Framework for Improving Long-Horizon LLM Agents,"['Taiyi Wang', 'Sian Gooding', 'Florian Hartmann', 'Oriana Riva', 'Edward Grefenstette']",Artificial Intelligence (cs.AI)
HyEvo: Self-Evolving Hybrid Agentic Workflows for Efficient Reasoning,"['Beibei Xu', 'Yutong Ye', 'Chuyun Shen', 'Yingbo Zhou', 'Cheng Chen', 'Mingsong Chen']",Artificial Intelligence (cs.AI)
PowerLens: Taming LLM Agents for Safe and Personalized Mobile Power Management,"['Xingyu Feng', 'Chang Sun', 'Yuzhu Wang', 'Zhangbing Zhou', 'Chengwen Luo', 'Zhuangzhuang Chen', 'Xiaomin Ouyang', 'Huanqi Yang']",Artificial Intelligence (cs.AI)
PA2D-MORL: Pareto Ascent Directional Decomposition based Multi-Objective Reinforcement Learning,"['Tianmeng Hu', 'Biao Luo']",Artificial Intelligence (cs.AI)
ItinBench: Benchmarking Planning Across Multiple Cognitive Dimensions with Large Language Models,"['Tianlong Wang', 'Pinqiao Wang', 'Weili Shi', 'Sheng li']",Artificial Intelligence (cs.AI)
Learning to Disprove: Formal Counterexample Generation with Large Language Models,"['Zenan Li', 'Zhaoyu Li', 'Kaiyu Yang', 'Xiaoxing Ma', 'Zhendong Su']",Artificial Intelligence (cs.AI)
Teaching an Agent to Sketch One Part at a Time,"['Xiaodan Du', 'Ruize Xu', 'David Yunis', 'Yael Vinker', 'Greg Shakhnarovich']",Artificial Intelligence (cs.AI)
Hyperagents,"['Jenny Zhang', 'Bingchen Zhao', 'Wannan Yang', 'Jakob Foerster', 'Jeff Clune', 'Minqi Jiang', 'Sam Devlin', 'Tatiana Shavrina', 'this https URL']",Artificial Intelligence (cs.AI)
When both Grounding and not Grounding are Bad -- A Partially Grounded Encoding of Planning into SAT (Extended Version),"['João Filipe', 'Gregor Behnke']",Artificial Intelligence (cs.AI)
